Card title,Pile title,Group,in supply,is kingdom,types,cost,spending power,debt,potion cost,Points,keywords,interacts with keywords,other interacts,comments
Potion,,Alchemy-base,y,n,Treasure,4,,,,,,,,Do not have a column to indicate this produces the potion resource
Alchemist,,Alchemy,y,y,Action,3,,,1,,+card;+action;topdeck,,,
Apothecary,,Alchemy,y,y,Action,2,,,1,,+card;+action;topdeck,,,
Apprentice,,Alchemy,y,y,Action,5,,,,,+action;trash_any;+card,,,
Familiar,,Alchemy,y,y,Action;Attack,3,,,1,,+card;+action;curser,,,
Golem,,Alchemy,y,y,Action,4,,,1,,reveal;discard,,,
Herbalist,,Alchemy,y,y,Action,2,,,,,+buy;+spend,discard,,
Philosopher's Stone,,Alchemy,y,y,Treasure,3,,,1,,,,,
Posession,,Alchemy,y,y,Action,6,,,1,,,,,
Scrying Pool,,Alchemy,y,y,Action;Attack,2,,,1,,+action;reveal;topdeck,,type(Action),
Transmute,,Alchemy,y,y,Action,,,,1,,trash_any;gain,,card(Duchy);card(Transmute);card(Gold),
University,,Alchemy,y,y,Action,2,,,1,,+action;gain,,cost<=5,
Vineyard,,Alchemy,y,y,Victory,,,,1,,,,type(Action),
,,,,,,,,,,,,,,
Altar,,DarkAges,y,y,Action,6,,,,,trash_any;gain,,cost<=5,
Armory,,DarkAges,y,y,Action,4,,,,,gain;topdeck,,cost<=4,
Band of Misfits,,DarkAges,y,y,Action,5,,,,,impersonate,,cost<=5,Used impersonate not clone here because you do not hold the card and this does not multiply 
Bandit Camp,,DarkAges,y,y,Action,5,,,,,+card;+actions,,type(Spoils),
Beggar,,DarkAges,y,y,Action;Reaction,2,,,,,gain;topdeck,,react(Attack),
Catacombs,,DarkAges,y,y,Action,5,,,,,+card;gain,trash,,
Count,,DarkAges,y,y,Action,5,,,,,discard;topdeck;gain;+spend;trash_any,,,
Cultist,,DarkAges,y,y,Action;Attack;Looter,5,,,,,+card,trash,type(ruins),
Death Cart,,DarkAges,y,y,Action;Looter,4,,,,,+spend;trash_limited,,type(ruins),
Forager,,DarkAges,y,y,Action,3,,,,,+action;+buy;trash_any;+spend,trash,type(Treasure),
Fortress,,DarkAges,y,y,Action,4,,,,,+card;+action,trash,,
Graverobber,,DarkAges,y,y,Action,5,,,,,gain;topdeck;trash_limited,trash,cost<=3;cost_in(3.6),
Hermit,,DarkAges,y,y,Action,3,,,,,trash_any;gain,,card(Madman);cost<=3,
Hunting Grounds,,DarkAges,y,y,Action,6,,,,,+card,trash,,
Ironmonger,,DarkAges,y,y,Action,4,,,,,+card;+action;reveal;+spend,,,
Junk Dealer,,DarkAges,y,y,Action,5,,,,,+card;+action;+spend;trash_any,,,
Marauder,,DarkAges,y,y,Action;Attack;Looter,4,,,,,gain,,type(Spoils);type(ruins),
Market Square,,DarkAges,y,y,Action;Reaction,3,,,,,+card;+action;+buy,trash,react(trash),Not sure if I need both trash and react(trash). Need to think about what react() means.
Mystic,,DarkAges,y,y,Action,5,,,,,+action;+spend,topdeck,,
Pillage,,DarkAges,y,y,Action;Attack,5,,,,,trash_limited; reveal;discard;gain,,card(Spoils),
Poor House,,DarkAges,y,y,Action,1,,,,,+spend;reveal,,,Is this the correct way to use reveal? It is your own reveal.
Procession,,DarkAges,y,y,Action,4,,,,,clone;trash_any;gain,,cost=+1,
Rebuild,,DarkAges,y,y,Action,5,,,,,+action;reveal;discard;trash_limited,,,Don't have cost+=3
Rogue,,DarkAges,y,y,Action;Attack,5,,,,,+spend;trash_limited;gain;discard,,cost_in(3.6),
Sage,,DarkAges,y,y,Action,3,,,,,+action;reveal;discard,,cost>=3,
Scavenger,,DarkAges,y,y,Action,4,,,,,+spend;topdeck,,,
Squire,,DarkAges,y,y,Action,2,,,,,+spend;gain;+action;+buy,trash,,
Storeroom,,DarkAges,y,y,Action,3,,,,,+buy;discard;+spend,,,
Urchin,,DarkAges,y,y,Action;Attack,3,,,,,+card;+action;discard;trash_limited,,type(attack);card(Mercenary),
Vagrant,,DarkAges,y,y,Action,2,,,,,+card;+action;reveal,,,
Wandering Minstrel,,DarkAges,y,y,Action,4,,,,,+card;+actions;reveal;topdeck,,,
Counterfeit,,DarkAges,y,y,Treasure,5,1,,,,+buy;clone;trash_limited,,,
Feodum,,DarkAges,y,y,Victory,4,,,,,,trash,,
Rats,,DarkAges,y,y,Action,4,,,,,+card;action;gain;trash_limited,trash,,
Knights,,DarkAges,y,y,Various,5,,,,,,,,The actually the knights pile has mostly 5 cost and one 4 cost
Ruins,,DarkAges,y,n,Action;Ruins,0,,,,,,,,
Spoils,,DarkAges,n,n,Treasure,0,3,,,,,,,
Madman,,DarkAges,n,n,Action,0,,,,,,,,
Mercenary,,DarkAges,n,n,Action;Attack,0,,,,,,,,
Hovel,,DarkAges-base,n,n,Reaction;Shelter,1,,,,,,,,
Necropolis,,DarkAges-base,n,n,Action;Shelter,1,,,,,,,,
Overgrown Estate,,DarkAges-base,n,n,Victory;Shelter,1,,,,,,,,
,,,,,,,,,,,,,,
Archive,,Empires,y,y,Action;Duration,5,,,,,+action,,,
Bustling Village,Settlers+Bustling Village,Empires,y,y,Action,5,,,,,+card;+action,,,Omitted reveal because it isn't forced
Capital,,Empires,y,y,Treasure,5,,6,,,+buy,,,
Humble Castle,Castles,Empires,y,y,Treasure;Victory;Castle,3,1,,,,,,,
Crumbling Castle,Castles,Empires,y,y,Victory;Castle,4,,,,1,+point;gain,,,
Small Castle,Castles,Empires,y,y,Action;Victory;Castle,5,,,,2,trash_limited,,,
Haunted Castle,Castles,Empires,y,y,Victory;Castle,6,,,,2,gain;topdeck,gain,,
Opulent Castle,Castles,Empires,y,y,Action;Victory;Castle,7,,,,3,discard;+spend,,,
Sprawling Castle,Castles,Empires,y,y,Victory;Castle,8,,,,4,,,,
Grand Castle,Castles,Empires,y,y,Victory;Castle,9,,,,5,reveal;+point,,,
King's Castle,Castles,Empires,y,y,Victory;Castle,10,,,,,,,,
Catapult,Catapult+Rocks,Empires,y,y,Action;Attack,3,,,,,+spend;trash_any;discard;curser,,cost>=3,
Chariot Race,,Empires,y,y,Action,3,,,,,+action;reveal;+spend;+point,,,
Charm,,Empires,y,y,Treasure,5,,,,,+buy;+spend;gain,,,
City Quarter,,Empires,y,y,Action,,,8,,,+actions;reveal;+card,,,
Crown,,Empires,y,y,Action;Treasure,5,,,,,clone,,,
Emporium,Patrician+Emporium,Empires,y,y,Action,5,,,,,+card;+action;+spend;+point,,,
Encampment,Encampment+Plunder,Empires,y,y,Action,2,,,,,+card;+action,,,Omitted reveal because it isn't forced
Enchantress,,Empires,y,y,Action;Attack;Duration,3,,,,,+card,,type(attack),
Engineer,,Empires,y,y,Action,,,4,,,gain;trash_limited,,,Should self-trash be different?
Farmers' Market,,Empires,y,y,Action;Gathering,3,,,,,+spend;+point,,,
Fortune,Gladiator+Fortune,Empires,y,y,Treasure,8,,8,,,+buy,,card(Gladiator),
Forum,,Empires,y,y,Action,5,,,,,+card;+action;discard;+buy,,,+buy only on buy
Gladiator,Gladiator+Fortune,Empires,y,y,Action,3,,,,,+spend;trash_limited,,,This is trash from supply
Groundskeeper,,Empires,y,y,Action,5,,,,,+card;+action;+point,,,
Legionary,,Empires,y,y,Action;Attack,5,,,,,+spend;discard,,,Omitted reveal because it isn't forced
Overlord,,Empires,y,y,Action,,,8,,,impersonate,,cost<=5,
Patritician,Patrician+Emporium,Empires,y,y,Action,2,,,,,+card;+action;reveal,,cost>=5,
Plunder,Encampment+Plunder,Empires,y,y,Treasure,5,2,,,,+point,,,
Rocks,Catapult+Rocks,Empires,y,y,Treasure,4,1,,,,gain;topdeck,gain;trash,,
Royal Blacksmith,,Empires,y,y,Action,,,8,,,+cards;reveal;discard,,,
Sacrifice,,Empires,y,y,Action,4,,,,,trash_any;+card;+action;+spend;+point,,,
Settlers,Settlers+Bustling Village,Empires,y,y,Action,2,,,,,+card;+action,,,Omitted reveal because it isn't forced (and wasn't from hand or deck)
Temple,,Empires,y,y,Action;Gathering,4,,,,,+point;trash_any,,,No gain because it is self-gain
Villa,,Empires,y,y,Action,4,,,,,+action;+buy+spend,,,
Wild Hunt,,Empires,y,y,Action;Gathering,5,,,,,+card;gain,,,
,,,,,,,,,,,,,,
Triumph,,Empires-Events,n,n,Event,,,5,,,gain;+point,,,
Annex,,Empires-Events,n,n,Event,,,8,,,+gain,,,
Donate,,Empires-Events,n,n,Event,,,8,,,+trash_any,,,
Advance,,Empires-Events,n,n,Event,0,,,,,+trash_limited;gain,,cost<=6,
Delve,,Empires-Events,n,n,Event,2,,,,,+buy;gain,,,
Tax,,Empires-Events,n,n,Event,2,,,,,,,,This adds debt to piles. Don't know how to/if to rep that
Banquet,,Empires-Events,n,n,Event,3,,,,,gain,,cost<=5,
Ritual,,Empires-Events,n,n,Event,4,,,,,+point;gain;trash_any,,,
Salt the Earth,,Empires-Events,n,n,Event,4,,,,,+point;trash_limited,,,
Wedding,,Empires-Events,n,n,Event,4,,3,,,+point;gain,,card(Gold),
Windfall,,Empires-Events,n,n,Event,5,,,,,gain,,card(Gold),
Conquest,,Empires-Events,n,n,Event,6,,,,,gain,,card(Silver),
Dominate,,Empires-Events,n,n,Event,14,,,,,gain;+point,,card(Province),
,,,,,,,,,,,,,,
Aqueduct,,Empires-Landmarks,n,n,Landmark,,,,,,+point,,,
Arena,,Empires-Landmarks,n,n,Landmark,,,,,,+point,,,
Bandit Fort,,Empires-Landmarks,n,n,Landmark,,,,,,,,,cares about vp chips
Basilica,,Empires-Landmarks,n,n,Landmark,,,,,,+point,,,
Baths,,Empires-Landmarks,n,n,Landmark,,,,,,+point,,,
Battlefield,,Empires-Landmarks,n,n,Landmark,,,,,,gain;+point,,,
Colonade,,Empires-Landmarks,n,n,Landmark,,,,,,+point,+buy,,
Defiled Shrine,,Empires-Landmarks,n,n,Landmark,,,,,,+point,gain,,
Fountain,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Keep,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Labyrinth,,Empires-Landmarks,n,n,Landmark,,,,,,+point,gain,,
Mountain Pass,,Empires-Landmarks,n,n,Landmark,,,,,,+point,,,
Museum,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Obelisk,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Orchard,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Palace,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Tomb,,Empires-Landmarks,n,n,Landmark,,,,,,+point,trash,,
Tower,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Triumphal Arch,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Wall,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
Wolf Den,,Empires-Landmarks,n,n,Landmark,,,,,,,,,
,,,,,,,,,,,,,,
Advisor,,Guilds,y,y,Action,4,,,,,+action;reveal;discard,,,
Baker,,Guilds,y,y,Action,5,,,,,+card;+action;+coffers,,,
Butcher,,Guilds,y,y,Action,5,,,,,+coffers;trash_any,,,This allows relative gain but is peturbable by saved coffers
Candlestick Maker,,Guilds,y,y,Action,2,,,,,+action;+buy;+coffers,,,
Doctor,,Guilds,y,y,Action,3,,,,,+trash_any;topdeck;discard;overpay,,,
Herald,,Guilds,y,y,Action,4,,,,,+action;+action;reveal;overpay;topdeck,,,
Journeyman,,Guilds,y,y,Action,5,,,,,reveal;discard,,,
Masterpiece,,Guilds,y,y,Treasure,3,1,,,,overpay;gain,,card(Silver),
Merchant Guild,,Guilds,y,y,Action,5,,,,,+buy;+spend;+coffers,,,
Plaza,,Guilds,y,y,Action,4,,,,,+card;+action;+coffers,,,Not listing discard since it is optional
Soothsayer,,Guilds,y,y,Action;Attack,5,,,,,gain;curser,,card(Gold),Not listing gain because it happens to other players
Stonemason,,Guilds,y,y,Action,2,,,,,trash_any;gain;overpay,,,
Taxman,,Guilds,y,y,Action;Attack,4,,,,,trash_limited;discard;gain,,type(Treasure);cost=+3,Gain is treasure cost up to 3; need to express type limit combined with cost relative
,,,,,,,,,,,,,,
Fairgrounds,,Cornucopia,y,y,Victory,6,,,,,,,,Points for unique names
Farming Village,,Cornucopia,y,y,Action,4,,,,,+action;reveal;discard,,,
Fortune Teller,,Cornucopia,y,y,Action;Attack,3,,,,,+spend;reveal;discard,,,
Hamlet,,Cornucopia,y,y,Action,2,,,,,+card;+action;discard,,,
Harvest,,Cornucopia,y,y,Action,5,,,,,+reveal;+spend;discard,,,
Horn of Plenty,,Cornucopia,y,y,Treasure,5,0,,,,gain;trash_limited,,,
Horse Traders,,Cornucopia,y,y,Action;Reaction,4,,,,,+buy;+spend;discard;+card;set_aside,,react(Attack),
Hunting Party,,Cornucopia,y,y,Action,5,,,,,+card;+action;reveal;discard,,,
Jester,,Cornucopia,y,y,Action;Attack,5,,,,,+spend;discard;curser;gain,,,
Menagerie,,Cornucopia,y,y,Action,3,,,,,+action;reveal;+card,,,
Remake,,Cornucopia,y,y,Action,4,,,,,trash_any;gain,,cost=+1,
Tournament,,Cornucopia,y,y,Action,4,,,,,+action;+card+spend;gain,,card(Duchy);card(Province);group(Cornucopia-prizes),Not listing discard since it is optional
Young Witch,,Cornucopia,y,y,Action;Attack,4,,,,,+card;discard;curser,,extra(bane.2.3),
,,,,,,,,,,,,,,
Bag of Gold,Prizes,Cornucopia-prizes,n,y,Action;prize,0,,,,,+action;gain,,card(Gold),
Diadem,Prizes,Cornucopia-prizes,n,y,Treasure;Prize,0,,,,,+spend,,,
Followers,Prizes,Cornucopia-prizes,n,y,Action;Attack;Prize,0,,,,,+card;gain;curser;discard,,,
Princess,Prizes,Cornucopia-prizes,n,y,Action;prize,0,,,,,+buy,,,cost reduction; don't have symbol to indicate that
Trusty Steed,Prizes,Cornucopia-prizes,n,y,Action;prize,0,,,,,+card;+action;+spend;gain,,card(Silver),
,,,,,,,,,,,,,,
Platinum,,Prosperity-base,y,n,Treasure,9,5,,,,,,,
Colony,,Prosperity-base,y,n,Victory,11,,,,10,,,,
,,,,,,,,,,,,,,
Loan,,Prosperity,y,y,Treasure,3,1,,,,+spend;discard;trash_limited,,,
Trade Route,,Prosperity,y,y,Action,3,,,,,+buy;trash_any;+spend,,item(trade_route_mat);item(coin tokens),
Watchtower,,Prosperity,y,y,Action;Reaction,3,,,,,+card;topdeck,gain,buy,This gain doesn't explicity deal with gain by buy
Bishop,,Prosperity,y,y,Action,4,,,,,+spend;+point;trash_any,,,
Monument,,Prosperity,y,y,Action,4,,,,,+spend;+point,,,
Quarry,,Prosperity,y,y,Treasure,4,1,,,,,,cost=-2,
Talisman,,Prosperity,y,y,Treasure,4,1,,,,,,cost<=4,
Worker's Village,,Prosperity,y,y,Action,4,,,,,+card;+action;+buy,,,
City,,Prosperity,y,y,Action,5,,,,,+card;+action;+spend;+buy,,,
Contraband,,Prosperity,y,y,Treasure,5,3,,,,+buy,,,
Counting House,,Prosperity,y,y,Action,5,,,,,,,card(Copper),
Mint,,Prosperity,y,y,Action,5,,,,,trash_limited,,type(Treasure),Didn't add reveal because it is not forced
Mountebank,,Prosperity,y,y,Action;Attack,5,,,,,+spend;curser,,,
Rabble,,Prosperity,y,y,Action;Attack,5,,,,,+card;topdeck,,,topdeck is other people not you
Royal Seal,,Prosperity,y,y,Treasure,5,2,,,,topdeck,,,
Vault,,Prosperity,y,y,Action,5,,,,,+card;discard,,,
Venture,,Prosperity,y,y,Treasure,5,1,,,,discard,,,
Goons,,Prosperity,y,y,Action,6,,,,,+buy;+spend;discard;+point,,,
Grand Market,,Prosperity,y,y,Action,6,,,,,+card;+action;+buy;+spend,,,
Hoard,,Prosperity,y,y,Treasure,6,2,,,,,,,
Bank,,Prosperity,y,y,Treasure,7,,,,,,,,
Expand,,Prosperity,y,y,Action,7,,,,,trash_any;gain,,cost<=+3,
Forge,,Prosperity,y,y,Action,7,,,,,trash_any,,,
King's Court,,Prosperity,y,y,Action,7,,,,,clone,,,
Peddler,,Prosperity,y,y,Action,8,,,,,+card;+action;+spend,,,
,,,,,,,,,,,,,,
Acting Troup,,Renaissance,y,y,Action,3,,,,,trash_limited;+villagers,,,
Border Guard,Horn+Lantern+Border Guard,Renaissance,y,y,Action,2,,,,,+actrion;reveal,,,
Horn,Horn+Lantern+Border Guard,Renaissance,n,n,Artefect,,,,,,topdeck,,,
Lantern,Horn+Lantern+Border Guard,Renaissance,n,n,Artefect,,,,,,,,,
Cargo Ship,,Renaissance,y,y,Action;Duration,3,,,,,+spend;gain,,,
Ducat,,Renaissance,y,y,Treasure,2,0,,,,+coffers;+buy;trash_limited,,,
Experiment,,Renaissance,y,y,Action,3,,,,,+card;+action;gain,,,Has gain but it's limited
Flag,Flag+Flag Bearer,Renaissance,n,n,Artefact,,,,,,+card,,,
Flag Bearer,Flag+Flag Bearer,Renaissance,y,y,Action,4,,,,,+spend,,,
Hideout,,Renaissance,y,y,Action,4,,,,,+card;+action;trash_any,,,
Improve,,Renaissance,y,y,Action,3,,,,,+spend;trash_limited;gain,,cost=+1,This has a fair bit of freedom in what to trash. But it can't trash curses so I'm classifying it as limited
Inventor,,Renaissance,y,y,Action,4,,,,,gain,,cost<=4,Gives a discount to buy but don't know how to represent that
Lackeys,,Renaissance,y,y,Action,2,,,,,+card;+villagers;,,,
Mountain Village,,Renaissance,y,y,Action,4,,,,,+action,,,
Old Witch,,Renaissance,y,y,Action;Attack,5,,,,,+card;curser,,,It does allow others to trash a curse but it doesn't let you trash anything
Patron,,Renaissance,y,y,Action;Reaction,4,,,,,+villager;+spend;+coffers,,react(reveal),
Priest,,Renaissance,y,y,Action,4,,,,,+spend;trash_any,,,
Recruiter,,Renaissance,y,y,Action,5,,,,,+card;trash_any;+villager,,,
Research,,Renaissance,y,y,Action;Duration,4,,,,,+action;trash_any,,,
Scepter,,Renaissance,y,y,Treasure,5,,,,,+spend;clone,,,A bit different to the other clones but you still get to repeat an effect
Scholar,,Renaissance,y,y,Action,5,,,,,discard;+card,,,
Sculptor,,Renaissance,y,y,Action,5,,,,,gain;+villager,,cost<=4,
Seer,,Renaissance,y,y,Action,5,,,,,+card;+action;topdeck,,cost_in(2.4),
Silk Merchant,,Renaissance,y,y,Action,4,,,,,+card;+buy;+villager;+coffers,,,
Spices,,Renaissance,y,y,Treasure,5,2,,,,+buy;+coffers,,,
Swashbuckler,Treasure Chest+Swashbuckler,Renaissance,y,y,Action,5,,,,,+card;+coffers,,card(Treasure Chest),
Treasure Chest,Treasure Chest+Swashbuckler,Renaissance,n,n,Artefact,,,,,,gain,,card(Gold),
Treasurer,Key+Treasurer,Renaissance,y,y,Action,5,,,,,+spend;trash_limited,,card(Key),
Key,Key+Treasurer,Renaissance,n,n,Artefact,,,,,,+spend,,,
Villain,,Renaissance,y,y,Action;Attack,5,,,,,+coffers,,,Technically there is a reveal trigger here.
,,,,,,,,,,,,,,
Fair,,Renaissance-Projects,n,n,Project,4,,,,,+buy,,,
